Curve Name,Year,Quarter,Deal ID,Deal Name,Product Name,Instrument,Status,Buy/Sell,Strategy,Region ID,Group,Volume (MWh),Fixed Earnings,VW Fixed Rate,Floating Earnings,VW Floating Rate,TW Floating Price,Total Earnings
Demand Model (50% Cap),2025,2,2420,Energy Kootingal Solar 202407,Energy Kootingal Solar 202407,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa,1249.53367157577,-69973.88560824313,-56.00000000000001,54308.67226457261,43.463152294315265,125.39220050331674,-15665.213343670524
Demand Model (50% Cap),2026,2,1756,Energy Mortons Lane Wind 202212,Energy Mortons Lane Wind 202212,Wind Farm,Contracted,Buy,VIC Renewable Retailer,VIC1,ppa_lgc,14854.140406020077,-415915.9313685622,-28.000000000000004,334218.1591354518,22.500000000000004,22.5,-81697.77223311043
Demand Model (50% Cap),2026,4,1714,Consumption QLD1 ISPT TOU,Consumption QLD1 ISPT TOU,Retail Customer,Contracted,Sell,Value Solar,QLD1,retail,3636.4221017064438,340002.19223226723,93.49909958822334,-352331.9267518039,-96.88972206677191,96.83254684977746,-12329.734519535896
Demand Model (50% Cap),2026,4,2649,Consumption SA1 KMART&TARGET TOU,Consumption SA1 KMART&TARGET TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail,1289.253650784546,135072.12349467442,104.76768742324627,-58323.645642827134,-45.23830171614066,56.48833433528204,76748.47785184727
Demand Model (50% Cap),2026,4,1805,Energy Waubra Wind 202401,Energy Waubra Wind 202401,Wind Farm,Contracted,Buy,SA Renewable Retailer,VIC1,ppa,56687.019122473226,-4109842.8985907827,-72.5006,2348064.2743870816,41.42155136635515,51.6066845275082,-1761778.6242037008
Demand Model (50% Cap),2026,3,1714,Consumption QLD1 ISPT TOU,Consumption QLD1 ISPT TOU,Retail Customer,Contracted,Sell,Value Solar,QLD1,retail_lgc,3640.552681781,116497.685816992,32.0,-81912.43534007299,-22.500000000000135,22.5,34585.25047691967
Demand Model (50% Cap),2025,4,2608,Consumption VIC1 Villa Maria TOU,Consumption VIC1 Villa Maria TOU,Retail Customer,Contracted,Sell,VIC Renewable Retailer,VIC1,retail,1840.765426412487,140676.7819773258,76.42298141784107,-90135.41805189144,-48.96627063859982,51.41405379207377,50541.36392543435
Demand Model (50% Cap),2025,3,1736,Consumption SA1 SAHMRI TOU,Consumption SA1 SAHMRI TOU,Retail Customer,Contracted,Sell,Sale to Retail,SA1,retail,1715.8849089304606,174342.8114640112,101.60518957689415,-174900.45184823725,-101.93017663245001,104.39299050846961,-557.6403842260511
Demand Model (50% Cap),2025,2,2443,Energy Cathedral Rocks Wind 202408,Energy Cathedral Rocks Wind 202408,Wind Farm,Contracted,Buy,SA Renewable Retailer,SA1,ppa,35415.35874527924,-2726982.6233865013,-76.99999999999999,3244518.617941253,91.61332068600709,116.22396165504402,517535.99455475115
Demand Model (50% Cap),2026,4,1761,Energy Wagga Wagga Solar 202303,Energy Wagga Wagga Solar 202303,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa,9557.284737490543,-568005.6028748385,-59.43169199999997,522538.51028735435,54.674368781499474,98.30267829102192,-45467.09258748438
Demand Model (50% Cap),2026,3,1757,Energy Mulwala Solar 202209,Energy Mulwala Solar 202209,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa,2218.732435643581,-136193.11871684072,-61.38330000000004,62166.97828113303,28.01914159744117,113.27416980147422,-74026.1404357076
Demand Model (50% Cap),2026,2,2281,Consumption VIC1 SBS TOU,Consumption VIC1 SBS TOU,Retail Customer,Contracted,Sell,VIC Renewable Retailer,VIC1,retail_lgc,108.60202778856753,4306.070401816703,39.65000000000001,-2443.54562524277,-22.500000000000004,22.5,1862.5247765739334
Demand Model (50% Cap),2025,4,1711,Consumption NSW1 SSROC Non-TOU,Consumption NSW1 SSROC Non-TOU,Retail Customer,Contracted,Sell,NSW Renewable Retailer,NSW1,retail_lgc,534.7717147604405,9492.197936997818,17.749999999999996,-13850.58741229541,-25.9,25.89999999999999,-4358.389475297592
Demand Model (50% Cap),2026,4,1721,Consumption SA1 CBUS TOU,Consumption SA1 CBUS TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail,298.34818864262223,22899.17481702195,76.75318868602831,-14331.020603804687,-48.03454872310677,56.48833433528204,8568.15421321726
Demand Model (50% Cap),2025,2,2451,SE001906,BVM2025,Futures,Contracted,Buy,Portfolio Optimisation,VIC1,wholesale,4368.000008736024,-413868.0087360044,-94.75000181050048,471728.3447762962,107.99641571264581,107.99641571264642,57860.3360402962
